Number of Vehicles	Accident Day	Time	1st Road Class	Road Surface	Lighting Conditions	Weather Conditions	Casualty Class	Sex of Casualty	Age of Casualty	Type of Vehicle	Casualty Severity
1	Thursday	3	Unclassified	Wet / Damp	Darkness: street lights present and lit	Raining without high winds	Pedestrian	Male	43	Car	Slight
2	Thursday	2	Unclassified	Wet / Damp	Darkness: street lights present and lit	Raining without high winds	Driver or rider	Male	22	Car	Serious
2	Thursday	1	A	Wet / Damp	Darkness: street lights present and lit	Fine without high winds	Driver or rider	Female	64	Car	Slight
2	Thursday	3	A	Wet / Damp	Darkness: street lights present and lit	Fine without high winds	Vehicle or pillion passenger	Female	15	Car	Slight
2	Friday	2	B	Wet / Damp	Daylight: street lights present	Raining without high winds	Driver or rider	Female	51	Car	Slight
1	Friday	3	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Pedestrian	Male	10	Car	Slight
2	Friday	4	Unclassified	Wet / Damp	Darkness: street lights present and lit	Unknown	Driver or rider	Male	21	Pedal cycle	Slight
2	Friday	3	A	Wet / Damp	Darkness: street lights present and lit	Fine without high winds	Driver or rider	Male	15	Pedal cycle	Slight
2	Saturday	4	A	Wet / Damp	Darkness: street lights present and lit	Raining without high winds	Driver or rider	Female	25	Car	Slight
2	Saturday	4	A	Wet / Damp	Darkness: street lights present and lit	Raining without high winds	Vehicle or pillion passenger	Male	21	Car	Slight
2	Saturday	4	A	Wet / Damp	Darkness: street lights present and lit	Raining without high winds	Driver or rider	Male	33	Car	Slight
1	Saturday	4	Unclassified	Wet / Damp	Darkness: street lights present and lit	Fine without high winds	Pedestrian	Male	42	Car	Serious
1	Saturday	1	A	Wet / Damp	Darkness: street lights present and lit	Raining without high winds	Vehicle or pillion passenger	Male	25	Car	Serious
2	Saturday	2	A	Wet / Damp	Darkness: street lights present and lit	Fine without high winds	Driver or rider	Male	31	Car	Slight
3	Sunday	1	A	Wet / Damp	Daylight: street lights present	Fine without high winds	Driver or rider	Male	63	Car	Slight
2	Sunday	1	Unclassified	Wet / Damp	Darkness: street lights present and lit	Fine without high winds	Driver or rider	Male	40	Pedal cycle	Slight
