Number of Vehicles	Accident Day	Time	1st Road Class	Road Surface	Lighting Conditions	Weather Conditions	Casualty Class	Sex of Casualty	Age of Casualty	Type of Vehicle	Casualty Severity
2	Wednesday	2	A	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Female	35	Car	Slight
2	Wednesday	3	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Female	17	Car	Slight
2	Wednesday	3	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Vehicle or pillion passenger	Male	35	Car	Slight
1	Thursday	2	Unclassified	Dry	Daylight: street lights present	Unknown	Pedestrian	Male	32	Bus or coach (17 or more passenger seats)	Slight
1	Wednesday	3	Unclassified	Dry	Darkness: street lights present and lit	Fine without high winds	Vehicle or pillion passenger	Female	67	Bus or coach (17 or more passenger seats)	Slight
1	Wednesday	4	B	Dry	Daylight: street lights present	Fine without high winds	Pedestrian	Male	50	Car	Slight
2	Wednesday	3	A	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	19	Pedal cycle	Serious
2	Wednesday	1	A	Dry	Daylight: street lights present	Fine without high winds	Vehicle or pillion passenger	Female	28	Taxi/Private hire car	Slight
2	Wednesday	4	A	Dry	Daylight: street lights present	Fine without high winds	Vehicle or pillion passenger	Male	29	Taxi/Private hire car	Slight
2	Wednesday	4	Motorway	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Female	22	Car	Slight
2	Wednesday	1	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Female	33	Car	Slight
1	Wednesday	3	Unclassified	Dry	Darkness: no street lighting	Fine without high winds	Vehicle or pillion passenger	Male	19	Car	Slight
2	Thursday	2	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	59	Motorcycle over 125cc and up to 500cc	Slight
2	Thursday	2	B	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	45	Car	Slight
2	Thursday	3	A	Wet / Damp	Daylight: street lights present	Raining without high winds	Vehicle or pillion passenger	Female	25	Car	Slight
2	Thursday	4	A	Wet / Damp	Daylight: street lights present	Raining without high winds	Vehicle or pillion passenger	Male	17	Car	Slight
2	Wednesday	1	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Pedestrian	Male	5	Car	Slight
2	Thursday	1	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	47	Car	Slight
1	Thursday	4	A	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	57	Car	Slight
1	Thursday	1	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Pedestrian	Male	8	Car	Slight
2	Thursday	1	A	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Female	44	Car	Slight
1	Thursday	4	A	Dry	Daylight: street lights present	Fine without high winds	Pedestrian	Female	17	Motorcycle over 500cc	Slight
1	Thursday	2	B	Dry	Darkness: street lights present and lit	Fine without high winds	Driver or rider	Male	18	Car	Slight
2	Friday	3	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	32	Motorcycle over 50cc and up to 125cc	Serious
1	Friday	1	A	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	31	Car	Slight
1	Saturday	2	Unclassified	Wet / Damp	Daylight: street lights present	Raining without high winds	Vehicle or pillion passenger	Female	30	Car	Slight
2	Saturday	2	Motorway	Wet / Damp	Daylight: street lights present	Fine without high winds	Driver or rider	Male	59	Car	Slight
2	Saturday	2	Motorway	Wet / Damp	Daylight: street lights present	Fine without high winds	Vehicle or pillion passenger	Male	28	Car	Slight
2	Saturday	3	Motorway	Wet / Damp	Daylight: street lights present	Fine without high winds	Vehicle or pillion passenger	Female	46	Car	Slight
2	Saturday	3	Motorway	Wet / Damp	Daylight: street lights present	Fine without high winds	Vehicle or pillion passenger	Female	60	Car	Slight
2	Saturday	1	Motorway	Wet / Damp	Daylight: street lights present	Fine without high winds	Driver or rider	Female	24	Car	Slight
2	Saturday	4	Motorway	Wet / Damp	Daylight: street lights present	Fine without high winds	Vehicle or pillion passenger	Male	27	Car	Slight
2	Saturday	3	Motorway	Wet / Damp	Daylight: street lights present	Fine without high winds	Vehicle or pillion passenger	Male	3	Car	Slight
2	Saturday	1	A	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	34	Motorcycle over 500cc	Serious
2	Saturday	1	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Female	23	Car	Slight
2	Saturday	4	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Vehicle or pillion passenger	Female	18	Car	Slight
2	Saturday	2	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Vehicle or pillion passenger	Female	45	Car	Slight
2	Saturday	1	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Vehicle or pillion passenger	Female	12	Car	Slight
3	Sunday	4	Motorway	Dry	Daylight: street lights present	Fine without high winds	Vehicle or pillion passenger	Female	53	Car	Slight
1	Sunday	3	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	24	Taxi/Private hire car	Slight
1	Monday	4	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Pedestrian	Male	9	Motorcycle over 50cc and up to 125cc	Slight
2	Monday	2	A	Dry	Daylight: street lights present	Fine without high winds	Vehicle or pillion passenger	Female	45	Car	Slight
1	Monday	3	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Pedestrian	Female	62	Car	Slight
1	Monday	4	A	Dry	Daylight: street lights present	Unknown	Driver or rider	Female	55	Car	Slight
2	Tuesday	4	Motorway	Wet / Damp	Daylight: street lights present	Fine without high winds	Driver or rider	Female	45	Car	Slight
2	Tuesday	4	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	28	Pedal cycle	Serious
2	Tuesday	3	Motorway	Dry	Daylight: street lights present	Fine without high winds	Vehicle or pillion passenger	Female	4	Car	Slight
2	Tuesday	4	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Female	19	Car	Slight
2	Tuesday	1	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Vehicle or pillion passenger	Female	21	Car	Slight
1	Tuesday	2	A	Dry	Daylight: street lights present	Fine without high winds	Vehicle or pillion passenger	Male	3	Bus or coach (17 or more passenger seats)	Slight
2	Tuesday	3	A	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Female	38	Car	Slight
2	Thursday	2	A	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	32	Pedal cycle	Slight
3	Thursday	1	A	Dry	Daylight: street lights present	Fine without high winds	Vehicle or pillion passenger	Female	13	Car	Slight
3	Thursday	1	A	Dry	Daylight: street lights present	Fine without high winds	Vehicle or pillion passenger	Male	15	Car	Slight
3	Thursday	3	A	Dry	Daylight: street lights present	Fine without high winds	Vehicle or pillion passenger	Male	20	Car	Slight
2	Thursday	1	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Female	73	Car	Slight
2	Thursday	4	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Female	46	Car	Slight
2	Thursday	2	Unclassified	Wet / Damp	Daylight: street lights present	Raining without high winds	Driver or rider	Male	33	Car	Slight
2	Thursday	4	A	Wet / Damp	Daylight: street lights present	Raining without high winds	Driver or rider	Male	37	Car	Slight
1	Thursday	2	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Pedestrian	Male	51	Goods vehicle 3.5 tonnes mgw and under	Slight
2	Friday	1	A	Dry	Daylight: street lights present	Fine without high winds	Vehicle or pillion passenger	Female	72	Car	Slight
2	Friday	1	A	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	23	Car	Slight
2	Friday	1	Unclassified	Dry	Daylight: street lights present	Unknown	Driver or rider	Female	30	Car	Slight
1	Friday	1	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Pedestrian	Male	35	Car	Serious
2	Friday	3	B	Wet / Damp	Darkness: street lights present and lit	Fine without high winds	Driver or rider	Male	62	Car	Slight
2	Friday	3	B	Wet / Damp	Darkness: street lights present and lit	Fine without high winds	Driver or rider	Male	20	Car	Slight
2	Friday	4	B	Wet / Damp	Darkness: street lights present and lit	Fine without high winds	Vehicle or pillion passenger	Male	20	Car	Slight
1	Friday	1	Unclassified	Dry	Darkness: street lights present and lit	Unknown	Pedestrian	Female	69	Motorcycle over 125cc and up to 500cc	Serious
1	Friday	4	A	Wet / Damp	Darkness: street lights present and lit	Raining without high winds	Pedestrian	Male	35	Taxi/Private hire car	Slight
1	Saturday	4	A	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	23	Car	Slight
1	Saturday	3	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Vehicle or pillion passenger	Male	2	Bus or coach (17 or more passenger seats)	Slight
3	Saturday	1	Unclassified	Dry	Darkness: street lights present and lit	Unknown	Driver or rider	Male	30	Car	Slight
2	Sunday	1	Unclassified	Dry	Darkness: street lights present and lit	Fine without high winds	Driver or rider	Male	31	Taxi/Private hire car	Slight
2	Sunday	2	Unclassified	Dry	Darkness: street lights present and lit	Fine without high winds	Vehicle or pillion passenger	Female	56	Taxi/Private hire car	Slight
2	Sunday	1	Unclassified	Dry	Darkness: street lights present and lit	Fine without high winds	Vehicle or pillion passenger	Female	51	Taxi/Private hire car	Slight
2	Sunday	1	Unclassified	Dry	Darkness: street lights present and lit	Fine without high winds	Vehicle or pillion passenger	Female	53	Taxi/Private hire car	Slight
1	Sunday	3	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	21	Goods vehicle 3.5 tonnes mgw and under	Serious
1	Sunday	1	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Vehicle or pillion passenger	Female	23	Goods vehicle 3.5 tonnes mgw and under	Serious
2	Sunday	3	A	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	41	Motorcycle over 500cc	Serious
2	Monday	2	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Female	82	Mobility Scooter	Slight
2	Sunday	3	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	32	Car	Slight
2	Sunday	4	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Female	37	Car	Slight
2	Saturday	2	Unclassified	Dry	Darkness: street lighting unknown	Fine without high winds	Driver or rider	Male	30	Car	Slight
2	Monday	3	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Vehicle or pillion passenger	Male	7	Car	Slight
1	Tuesday	4	Unclassified	Wet / Damp	Darkness: no street lighting	Raining without high winds	Driver or rider	Male	18	Car	Slight
2	Friday	3	A	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	35	Pedal cycle	Slight
1	Tuesday	3	B	Dry	Daylight: street lights present	Fine without high winds	Pedestrian	Female	71	Car	Slight
2	Tuesday	1	Unclassified	Dry	Darkness: street lights present and lit	Unknown	Driver or rider	Female	25	Car	Slight
1	Tuesday	1	A	Dry	Daylight: street lights present	Unknown	Pedestrian	Female	42	Taxi/Private hire car	Slight
2	Tuesday	2	Unclassified	Wet / Damp	Daylight: street lights present	Fine without high winds	Driver or rider	Male	53	Motorcycle over 50cc and up to 125cc	Serious
3	Wednesday	2	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Female	50	Car	Slight
2	Thursday	1	Motorway	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	41	Car	Slight
2	Thursday	2	B	Dry	Daylight: street lights present	Unknown	Driver or rider	Female	57	Car	Slight
2	Friday	4	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Female	41	Car	Slight
4	Friday	4	A	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	58	Car	Slight
2	Friday	1	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Female	26	Car	Slight
2	Friday	1	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Female	46	Car	Slight
2	Friday	4	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	20	Car	Slight
2	Friday	4	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	54	Pedal cycle	Slight
2	Friday	4	Unclassified	Wet / Damp	Darkness: street lights present and lit	Raining without high winds	Vehicle or pillion passenger	Female	65	Car	Slight
2	Friday	2	Unclassified	Wet / Damp	Darkness: street lights present and lit	Raining without high winds	Driver or rider	Male	39	Car	Slight
1	Saturday	4	A	Dry	Daylight: street lights present	Fine without high winds	Pedestrian	Male	85	Car	Slight
2	Saturday	4	Unclassified	Dry	Daylight: street lights present	Unknown	Driver or rider	Male	18	Car	Slight
2	Saturday	1	Unclassified	Dry	Daylight: street lights present	Unknown	Vehicle or pillion passenger	Female	19	Car	Slight
2	Saturday	3	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Female	18	Car	Slight
2	Saturday	1	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Vehicle or pillion passenger	Female	19	Car	Slight
2	Saturday	2	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Female	36	Car	Slight
2	Saturday	3	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Vehicle or pillion passenger	Female	5	Car	Slight
2	Saturday	3	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Female	55	Car	Slight
2	Saturday	2	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Vehicle or pillion passenger	Male	25	Car	Slight
2	Saturday	2	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Vehicle or pillion passenger	Female	25	Car	Slight
2	Wednesday	3	A	Dry	Darkness: street lights present and lit	Fine without high winds	Driver or rider	Female	33	Pedal cycle	Slight
2	Saturday	4	A	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	27	Motorcycle over 500cc	Slight
4	Saturday	3	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	30	Car	Slight
4	Saturday	1	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Female	44	Car	Slight
3	Saturday	4	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	33	Car	Slight
3	Saturday	2	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	23	Car	Slight
2	Sunday	4	A	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Female	19	Car	Slight
2	Sunday	4	A	Dry	Daylight: street lights present	Fine without high winds	Vehicle or pillion passenger	Male	19	Car	Slight
1	Sunday	1	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	25	Motorcycle over 50cc and up to 125cc	Serious
2	Monday	3	A	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	29	Pedal cycle	Slight
2	Monday	3	A	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	58	Motorcycle over 125cc and up to 500cc	Serious
2	Sunday	1	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	43	Pedal cycle	Slight
1	Monday	4	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Vehicle or pillion passenger	Male	65	Bus or coach (17 or more passenger seats)	Slight
