V_count,A_Day,A_Time,Road_Type,Road_Surface,Lighting_Conditions,Weather_Conditions,Casualty_Class,Sex_of_Casualty,Age_of_Casualty,Type_of_Vehicle,Casualty_Severity
2,6,1,0,0,4,8,1,1,42,1,1
2,5,1,4,0,4,1,1,1,34,12,1
2,4,1,4,3,3,5,1,0,43,12,1
2,4,1,4,0,4,1,1,0,53,1,1
1,3,3,2,3,4,5,3,0,11,1,0
2,3,1,0,0,3,1,0,1,46,1,0
1,5,2,4,0,2,1,3,0,40,1,0
1,3,2,4,0,4,1,3,1,13,1,1
1,0,4,4,3,4,1,3,0,66,1,0
1,1,4,4,0,4,1,4,1,16,0,1
3,1,2,4,0,4,8,1,1,30,1,1
2,1,4,4,0,4,1,1,0,59,1,1
3,0,2,0,0,4,1,1,1,45,2,1
1,0,1,4,0,3,8,3,0,69,8,0
2,4,2,4,3,3,5,1,1,22,1,0
2,6,4,4,0,4,1,1,1,17,12,0
1,6,1,4,0,4,1,3,1,11,1,1
2,0,4,0,0,3,1,1,1,34,1,1
1,3,3,4,0,4,1,1,1,24,13,1
1,2,3,4,0,4,1,4,0,51,0,1
2,1,1,4,0,4,8,1,0,40,1,1
1,4,4,0,0,4,1,1,1,57,1,1
2,6,1,0,0,4,1,4,0,73,1,1
2,6,1,0,0,4,1,1,1,42,12,1
1,5,1,0,0,4,1,2,0,60,1,0
3,4,4,4,1,4,6,1,0,35,1,1
2,4,2,4,3,4,1,1,0,44,1,1
1,5,4,4,3,4,1,0,1,18,10,0
2,6,3,4,3,1,1,1,1,47,1,1
4,3,1,0,3,3,1,1,1,41,13,0
2,0,2,4,0,4,1,1,1,26,1,1
2,1,4,0,0,4,8,4,0,33,1,1
2,3,4,4,0,4,1,0,0,8,12,0
1,6,2,4,0,4,1,3,0,3,1,1
1,5,2,4,3,4,1,4,0,46,0,1
3,1,3,0,0,4,1,1,1,21,1,1
1,6,1,4,0,4,1,3,0,41,1,1
1,3,1,4,0,4,1,3,1,5,1,0
2,4,4,4,0,4,1,1,1,34,12,1
2,4,3,4,0,4,1,1,1,63,12,1
1,2,4,4,0,4,1,3,1,46,1,1
1,2,3,4,0,3,1,4,0,20,1,1
1,3,4,4,0,3,1,3,1,18,1,0
1,5,1,4,0,4,1,3,1,34,1,1
2,0,3,4,0,4,1,0,1,16,10,0
2,5,2,4,0,4,1,0,1,37,12,0
2,4,2,4,3,4,5,1,1,50,1,1
2,4,4,4,0,4,1,1,1,21,12,1
