,V_count,A_Day,A_Time,Road_Type,Road_Surface,Lighting_Conditions,Weather_Conditions,Casualty_Class,Sex_of_Casualty,Age_of_Casualty,Type_of_Vehicle,Casualty_Severity
483,1,1,4,4,0,4,1,3,1,6,12,1
484,1,1,3,4,0,4,1,3,1,5,12,1
485,1,1,1,4,0,4,1,4,0,45,0,1
486,1,1,1,0,0,4,1,3,0,9,1,1
487,2,1,2,0,0,4,8,1,1,61,3,1
488,1,1,4,4,0,4,1,1,1,50,1,1
489,2,1,3,4,0,2,8,1,0,45,1,1
490,2,1,4,4,0,3,1,1,1,39,1,1
491,2,5,4,4,0,2,8,1,0,53,1,1
492,2,6,3,4,3,4,5,1,1,36,1,1
493,2,6,2,4,3,4,5,1,0,22,1,1
494,2,6,1,4,3,4,5,1,1,40,12,1
495,1,6,4,4,3,4,5,4,0,82,0,0
496,2,6,4,4,3,4,5,1,1,60,1,1
497,1,6,4,4,0,4,1,3,1,5,1,1
498,1,6,2,4,3,4,5,3,1,57,1,1
499,2,4,2,0,0,4,1,4,0,24,0,0
500,2,4,2,4,0,4,8,1,1,74,1,1
501,2,4,4,3,0,4,1,4,0,18,1,1
502,2,4,2,3,0,4,1,1,0,23,1,1
503,2,4,3,4,0,4,1,1,1,49,1,0
504,2,0,4,0,0,4,8,1,1,33,9,1
505,2,0,3,0,0,1,1,1,0,23,1,0
506,2,0,4,0,0,1,1,4,1,47,1,1
507,2,0,3,0,0,1,1,1,1,50,1,1
508,1,2,3,3,0,4,1,1,1,45,1,1
509,4,2,1,0,0,3,1,4,1,28,9,1
510,1,2,3,4,0,3,1,3,1,35,13,1
511,1,3,3,4,0,4,8,3,0,31,1,1
512,1,3,1,0,0,4,8,3,1,67,1,1
513,2,3,2,0,0,4,1,1,1,71,1,1
514,1,3,3,3,0,3,1,1,1,22,2,0
515,2,1,4,0,0,4,1,1,1,46,12,1
516,1,5,3,0,0,4,1,4,0,53,0,1
517,3,5,1,1,0,4,1,1,1,41,2,1
518,2,5,1,4,0,4,1,1,1,30,10,1
